Date,Depth,Site,Plot,Year,Value
2021-09-02,10,energyFarm,WS,2021,0.64
2021-09-03,10,energyFarm,WS,2021,0.67
2021-09-04,10,energyFarm,WS,2021,0.36
2021-09-05,10,energyFarm,WS,2021,1.0
2021-09-06,10,energyFarm,WS,2021,0.83
2021-09-07,10,energyFarm,WS,2021,0.32
2021-09-08,10,energyFarm,WS,2021,0.77
2021-09-09,10,energyFarm,WS,2021,0.74
2021-09-10,10,energyFarm,WS,2021,0.71
2021-09-11,10,energyFarm,WS,2021,0.14
2021-09-12,10,energyFarm,WS,2021,0.2
2021-09-13,10,energyFarm,WS,2021,0.22
2021-09-14,10,energyFarm,WS,2021,0.09
2021-09-15,10,energyFarm,WS,2021,0.92
2021-09-16,10,energyFarm,WS,2021,0.34
2021-09-17,10,energyFarm,WS,2021,0.56
2021-09-18,10,energyFarm,WS,2021,0.39
2021-09-19,10,energyFarm,WS,2021,0.26
2021-09-20,10,energyFarm,WS,2021,0.61
2021-09-21,10,energyFarm,WS,2021,0.05
2021-09-22,10,energyFarm,WS,2021,0.22
2021-09-23,10,energyFarm,WS,2021,0.99
2021-09-24,10,energyFarm,WS,2021,0.48
2021-09-25,10,energyFarm,WS,2021,0.45
2021-09-26,10,energyFarm,WS,2021,0.63
2021-09-27,10,energyFarm,WS,2021,0.74
2021-09-28,10,energyFarm,WS,2021,0.57
2021-09-29,10,energyFarm,WS,2021,0.87
2021-09-30,10,energyFarm,WS,2021,0.99
2021-10-01,10,energyFarm,WS,2021,0.92
2021-10-02,10,energyFarm,WS,2021,0.69
2021-10-03,10,energyFarm,WS,2021,0.18
2021-10-04,10,energyFarm,WS,2021,0.31
2021-10-05,10,energyFarm,WS,2021,0.1
2021-10-06,10,energyFarm,WS,2021,0.18
2021-10-07,10,energyFarm,WS,2021,0.39
2021-10-08,10,energyFarm,WS,2021,0.18
2021-10-09,10,energyFarm,WS,2021,0.63
2021-10-10,10,energyFarm,WS,2021,0.48
2021-10-11,10,energyFarm,WS,2021,0.2
2021-10-12,10,energyFarm,WS,2021,0.12
2021-10-13,10,energyFarm,WS,2021,0.05
2021-10-14,10,energyFarm,WS,2021,0.52
2021-10-15,10,energyFarm,WS,2021,0.2
2021-10-16,10,energyFarm,WS,2021,0.56
2021-10-17,10,energyFarm,WS,2021,0.08
2021-10-18,10,energyFarm,WS,2021,0.36
2021-10-19,10,energyFarm,WS,2021,0.63
2021-10-20,10,energyFarm,WS,2021,0.85
2021-10-21,10,energyFarm,WS,2021,0.64
2021-10-22,10,energyFarm,WS,2021,0.96
2021-10-23,10,energyFarm,WS,2021,0.94
2021-10-24,10,energyFarm,WS,2021,0.29
2021-10-25,10,energyFarm,WS,2021,0.2
2021-10-26,10,energyFarm,WS,2021,0.81
2021-10-27,10,energyFarm,WS,2021,0.12
2021-10-28,10,energyFarm,WS,2021,0.84
2021-10-29,10,energyFarm,WS,2021,0.06
2021-10-30,10,energyFarm,WS,2021,0.08
2021-10-31,10,energyFarm,WS,2021,0.92
2021-11-01,10,energyFarm,WS,2021,0.64
2021-11-02,10,energyFarm,WS,2021,0.22
2021-11-03,10,energyFarm,WS,2021,0.44
2021-11-04,10,energyFarm,WS,2021,0.57
2021-11-05,10,energyFarm,WS,2021,1.0
2021-11-06,10,energyFarm,WS,2021,0.39
2021-11-07,10,energyFarm,WS,2021,0.5
2021-11-08,10,energyFarm,WS,2021,0.6
2021-11-09,10,energyFarm,WS,2021,0.26
2021-11-10,10,energyFarm,WS,2021,0.8
2021-11-11,10,energyFarm,WS,2021,0.36
2021-11-12,10,energyFarm,WS,2021,0.0
2021-11-13,10,energyFarm,WS,2021,0.8
2021-11-14,10,energyFarm,WS,2021,0.05
2021-11-15,10,energyFarm,WS,2021,0.54
2021-11-16,10,energyFarm,WS,2021,0.79
2021-11-17,10,energyFarm,WS,2021,0.85
2021-11-18,10,energyFarm,WS,2021,0.81
2021-11-19,10,energyFarm,WS,2021,0.51
2021-11-20,10,energyFarm,WS,2021,0.42
2021-11-21,10,energyFarm,WS,2021,0.79
2021-11-22,10,energyFarm,WS,2021,0.32
2021-11-23,10,energyFarm,WS,2021,0.58
2021-11-24,10,energyFarm,WS,2021,0.88
2021-11-25,10,energyFarm,WS,2021,0.99
2021-11-26,10,energyFarm,WS,2021,0.67
2021-11-27,10,energyFarm,WS,2021,0.02
2021-11-28,10,energyFarm,WS,2021,0.84
2021-11-29,10,energyFarm,WS,2021,0.1
2021-11-30,10,energyFarm,WS,2021,0.77
2021-12-01,10,energyFarm,WS,2021,0.88
2021-12-02,10,energyFarm,WS,2021,0.31
2021-12-03,10,energyFarm,WS,2021,0.36
2021-12-04,10,energyFarm,WS,2021,0.48
2021-12-05,10,energyFarm,WS,2021,0.52
2021-12-06,10,energyFarm,WS,2021,0.6
2021-12-07,10,energyFarm,WS,2021,0.4
2021-12-08,10,energyFarm,WS,2021,0.87
2021-12-09,10,energyFarm,WS,2021,0.04
2021-12-10,10,energyFarm,WS,2021,0.56
