Date,Depth,Site,Plot,Year,Value
2022-01-04,20,energyFarm,WS,2022,0.07
2022-01-05,20,energyFarm,WS,2022,0.96
2022-01-06,20,energyFarm,WS,2022,0.09
2022-01-07,20,energyFarm,WS,2022,0.35
2022-01-08,20,energyFarm,WS,2022,0.97
2022-01-09,20,energyFarm,WS,2022,0.76
2022-01-10,20,energyFarm,WS,2022,0.63
2022-01-11,20,energyFarm,WS,2022,0.92
2022-01-12,20,energyFarm,WS,2022,0.58
2022-01-13,20,energyFarm,WS,2022,0.45
2022-01-14,20,energyFarm,WS,2022,0.67
2022-01-15,20,energyFarm,WS,2022,0.2
2022-01-16,20,energyFarm,WS,2022,0.08
2022-01-17,20,energyFarm,WS,2022,0.51
2022-01-18,20,energyFarm,WS,2022,0.18
2022-01-19,20,energyFarm,WS,2022,0.68
2022-01-20,20,energyFarm,WS,2022,0.93
2022-01-21,20,energyFarm,WS,2022,0.35
2022-01-22,20,energyFarm,WS,2022,0.44
2022-01-23,20,energyFarm,WS,2022,0.28
2022-01-24,20,energyFarm,WS,2022,0.74
2022-01-25,20,energyFarm,WS,2022,0.27
2022-01-26,20,energyFarm,WS,2022,0.98
2022-01-27,20,energyFarm,WS,2022,0.11
2022-01-28,20,energyFarm,WS,2022,0.47
2022-01-29,20,energyFarm,WS,2022,0.16
2022-01-30,20,energyFarm,WS,2022,0.68
2022-01-31,20,energyFarm,WS,2022,0.05
2022-02-01,20,energyFarm,WS,2022,0.68
2022-02-02,20,energyFarm,WS,2022,0.06
2022-02-03,20,energyFarm,WS,2022,0.89
2022-02-04,20,energyFarm,WS,2022,0.7
2022-02-05,20,energyFarm,WS,2022,0.68
2022-02-06,20,energyFarm,WS,2022,0.5
2022-02-07,20,energyFarm,WS,2022,0.24
2022-02-08,20,energyFarm,WS,2022,0.44
2022-02-09,20,energyFarm,WS,2022,0.69
2022-02-10,20,energyFarm,WS,2022,0.96
2022-02-11,20,energyFarm,WS,2022,0.66
2022-02-12,20,energyFarm,WS,2022,0.35
2022-02-13,20,energyFarm,WS,2022,0.71
2022-02-14,20,energyFarm,WS,2022,0.07
2022-02-15,20,energyFarm,WS,2022,0.19
2022-02-16,20,energyFarm,WS,2022,0.88
2022-02-17,20,energyFarm,WS,2022,0.97
2022-02-18,20,energyFarm,WS,2022,0.23
2022-02-19,20,energyFarm,WS,2022,0.69
2022-02-20,20,energyFarm,WS,2022,0.59
2022-02-21,20,energyFarm,WS,2022,0.22
2022-02-22,20,energyFarm,WS,2022,0.79
2022-02-23,20,energyFarm,WS,2022,0.33
2022-02-24,20,energyFarm,WS,2022,0.85
2022-02-25,20,energyFarm,WS,2022,0.85
2022-02-26,20,energyFarm,WS,2022,0.07
2022-02-27,20,energyFarm,WS,2022,0.47
2022-02-28,20,energyFarm,WS,2022,0.55
2022-03-01,20,energyFarm,WS,2022,0.18
2022-03-02,20,energyFarm,WS,2022,0.02
2022-03-03,20,energyFarm,WS,2022,0.16
2022-03-04,20,energyFarm,WS,2022,0.27
2022-03-05,20,energyFarm,WS,2022,0.64
2022-03-06,20,energyFarm,WS,2022,0.3
2022-03-07,20,energyFarm,WS,2022,0.2
2022-03-08,20,energyFarm,WS,2022,0.04
2022-03-09,20,energyFarm,WS,2022,0.34
2022-03-10,20,energyFarm,WS,2022,0.23
2022-03-11,20,energyFarm,WS,2022,0.13
2022-03-12,20,energyFarm,WS,2022,0.49
2022-03-13,20,energyFarm,WS,2022,0.11
2022-03-14,20,energyFarm,WS,2022,0.9
2022-03-15,20,energyFarm,WS,2022,0.8
2022-03-16,20,energyFarm,WS,2022,0.98
2022-03-17,20,energyFarm,WS,2022,0.75
2022-03-18,20,energyFarm,WS,2022,0.54
2022-03-19,20,energyFarm,WS,2022,0.62
2022-03-20,20,energyFarm,WS,2022,0.5
2022-03-21,20,energyFarm,WS,2022,0.09
2022-03-22,20,energyFarm,WS,2022,0.6
2022-03-23,20,energyFarm,WS,2022,0.14
2022-03-24,20,energyFarm,WS,2022,0.67
2022-03-25,20,energyFarm,WS,2022,0.56
2022-03-26,20,energyFarm,WS,2022,0.73
2022-03-27,20,energyFarm,WS,2022,0.83
2022-03-28,20,energyFarm,WS,2022,0.77
2022-03-29,20,energyFarm,WS,2022,0.9
2022-03-30,20,energyFarm,WS,2022,0.17
2022-03-31,20,energyFarm,WS,2022,0.59
2022-04-01,20,energyFarm,WS,2022,0.75
2022-04-02,20,energyFarm,WS,2022,0.54
2022-04-03,20,energyFarm,WS,2022,0.92
2022-04-04,20,energyFarm,WS,2022,0.6
2022-04-05,20,energyFarm,WS,2022,0.73
2022-04-06,20,energyFarm,WS,2022,0.92
2022-04-07,20,energyFarm,WS,2022,0.62
2022-04-08,20,energyFarm,WS,2022,0.24
2022-04-09,20,energyFarm,WS,2022,0.2
2022-04-10,20,energyFarm,WS,2022,0.6
2022-04-11,20,energyFarm,WS,2022,0.96
2022-04-12,20,energyFarm,WS,2022,0.05
2022-04-13,20,energyFarm,WS,2022,0.94
